0:0:0:0:0:0:0:1 - - [09/Jun/2017:11:38:26 -0700] "GET /jenkins_23May/static/8eef5bb9/images/headshot.png HTTP/1.1" 200 2409
0:0:0:0:0:0:0:1 - - [09/Jun/2017:11:38:26 -0700] "GET /jenkins_23May/static/8eef5bb9/images/16x16/search.png HTTP/1.1" 200 774
0:0:0:0:0:0:0:1 - - [09/Jun/2017:11:38:26 -0700] "GET /jenkins_23May/adjuncts/8eef5bb9/lib/layout/breadcrumbs.css HTTP/1.1" 503 1657
0:0:0:0:0:0:0:1 - - [09/Jun/2017:11:38:26 -0700] "GET /jenkins_23May/static/8eef5bb9/assets/jquery-detached/jsmodules/jquery2.js HTTP/1.1" 503 1657
0:0:0:0:0:0:0:1 - - [09/Jun/2017:11:38:31 -0700] "GET /jenkins_23May/ HTTP/1.1" 403 1004
0:0:0:0:0:0:0:1 - - [09/Jun/2017:11:38:31 -0700] "GET /jenkins_23May/ HTTP/1.1" 403 859
0:0:0:0:0:0:0:1 - - [09/Jun/2017:11:38:32 -0700] "GET /jenkins_23May/login?from=%2Fjenkins_23May%2F HTTP/1.1" 200 3342
0:0:0:0:0:0:0:1 - - [09/Jun/2017:11:38:32 -0700] "GET /jenkins_23May/adjuncts/8eef5bb9/lib/layout/breadcrumbs.css HTTP/1.1" 200 717
0:0:0:0:0:0:0:1 - - [09/Jun/2017:11:38:32 -0700] "GET /jenkins_23May/adjuncts/8eef5bb9/org/kohsuke/stapler/bind.js HTTP/1.1" 200 936
0:0:0:0:0:0:0:1 - - [09/Jun/2017:11:38:33 -0700] "GET /jenkins_23May/adjuncts/8eef5bb9/lib/layout/breadcrumbs.js HTTP/1.1" 200 3019
0:0:0:0:0:0:0:1 - - [09/Jun/2017:11:38:33 -0700] "GET /jenkins_23May/static/8eef5bb9/assets/jquery-detached/jsmodules/jquery2.js HTTP/1.1" 200 39262
0:0:0:0:0:0:0:1 - - [09/Jun/2017:11:38:33 -0700] "GET /jenkins_23May/adjuncts/8eef5bb9/lib/layout/menu_down_arrow.png HTTP/1.1" 200 2767
0:0:0:0:0:0:0:1 - - [09/Jun/2017:11:38:33 -0700] "GET /jenkins_23May/adjuncts/8eef5bb9/lib/layout/menu_right_arrow2.png HTTP/1.1" 200 2764
